year,country,dwellings,population,new_dwellings,new_by_pop,rolling
1981,Switzerland,2746841.9,6376788,45903.89999999991,7.198592771156875,83.45126048243722
1982,Switzerland,2792745.8,6418333,45903.89999999991,7.151997255362087,82.05358294716436
1983,Switzerland,2838649.7,6459878,45903.90000000037,7.106001073085339,80.62940312383103
1984,Switzerland,2884553.6,6501423,45903.89999999991,7.060592734852032,79.17922016365024
1985,Switzerland,2930457.5,6542968,45903.89999999991,7.015761043000655,77.70352262409864
1986,Switzerland,2976361.4,6584513,45903.89999999991,6.9714950824760935,76.20278874605167
1987,Switzerland,3022265.3,6626058,45903.89999999991,6.92778421197036,74.67748672212224
1988,Switzerland,3068169.2,6667603,45903.90000000037,6.884618055394176,73.1280749565319
1989,Switzerland,3114073.1,6709148,45903.89999999991,6.841986493665054,71.55500231682944
1990,Switzerland,3159977,6750693,45903.89999999991,6.799879656799666,69.95870837776233
1991,Switzerland,3200897.4,6792068.1,40920.39999999991,6.024733468146455,68.78484907475192
1992,Switzerland,3241817.8,6833443.2,40920.39999999991,5.988254940057145,67.62110675944697
1993,Switzerland,3282738.2,6874818.3,40920.40000000037,5.9522154934626235,66.46732117982427
1994,Switzerland,3323658.6,6916193.4,40920.39999999991,5.916607248143163,65.3233356931154
1995,Switzerland,3364579,6957568.5,40920.39999999991,5.88142251132704,64.18899716144179
1996,Switzerland,3405499.4,6998943.6,40920.39999999991,5.846653772149258,63.06415585111495
1997,Switzerland,3446419.8,7040318.7,40920.39999999991,5.812293696306662,61.948665335451246
1998,Switzerland,3487340.2,7081693.8,40920.40000000037,5.778335120900084,60.84238240095715
1999,Switzerland,3528260.6,7123068.9,40920.39999999991,5.744771049455931,59.74516695674802
2000,Switzerland,3569181,7164444,40920.39999999991,5.7115946471212435,58.65688194706961
2001,Switzerland,3620168.9,7242096.5,50987.89999999991,7.040488897103195,59.67263737602635
2002,Switzerland,3671156.8,7319749,50987.89999999991,6.9657989638715625,60.65018139984077
2003,Switzerland,3722144.7,7397401.5,50987.90000000037,6.89267711100991,61.590643017388054
2004,Switzerland,3773132.6,7475054,50987.89999999991,6.821074469829905,62.49511023907479
2005,Switzerland,3824120.5,7552706.5,50987.89999999991,6.75094418140039,63.364631909148144
2006,Switzerland,3875108.4,7630359,50987.89999999991,6.682241294282472,64.20021943128135
2007,Switzerland,3926096.3,7708011.5,50987.89999999991,6.614922668446967,65.00284840342167
2008,Switzerland,3977084.2,7785664,50987.90000000037,6.5489468849413965,65.77346016746297
2009,Switzerland,4028072.1,7863316.5,50987.89999999991,6.484274160909066,66.5129632789161
2010,Switzerland,4079060,7940969,50987.89999999991,6.420866269595047,67.22223490138991
2011,Switzerland,4131342,8035391,52282,6.5064662068093515,66.68821221109606
2012,Switzerland,4177521,8123721,46179,5.684464052864445,65.40687730008894
2013,Switzerland,4234906,8222327,57385,6.979167819523597,65.49336800860263
2014,Switzerland,4289428,8324554,54522,6.5495400714560805,65.2218336102288
2015,Switzerland,4351846,8423612,62418,7.409885450564437,65.88077487939285
2016,Switzerland,4420829,8497313,68983,8.118213369332164,67.31674695444255
2017,Switzerland,4469498,8560151,48669,5.685530547299925,66.3873548332955
2018,Switzerland,4528902,8620693,59404,6.890861326345806,66.72926927469992
2019,Switzerland,4582272,8681911,53370,6.147264121919702,66.39225923571055
2020,Switzerland,4637174,8729833,54902,6.2890091941048585,66.26040216022038
2021,Switzerland,4688288,8805344,51114,5.8048839432053985,65.55881989661643
2022,Switzerland,4741917,8965442,53629,5.981746354502098,65.85610219825406
1976,Taiwan,3200011.2,16629444.4,119322.20000000019,7.1753569830631365,60.9864834282222
1977,Taiwan,3319333.4,16979532.8,119322.19999999972,7.027413616468865,61.448396709471254
1978,Taiwan,3438655.6,17329621.2,119322.20000000019,6.885447674990161,61.91512490503656
1979,Taiwan,3557977.8,17679709.6,119322.19999999972,6.74910406899442,62.38587088762386
1980,Taiwan,3677300,18029798,119322.20000000019,6.61805528825116,62.85992214059338
